sexo,posse_de_veiculo,posse_de_imovel,qtd_filhos,tipo_renda,educacao,estado_civil,tipo_residencia,idade,tempo_emprego,qt_pessoas_residencia,renda,log_renda
F,True,True,1,Assalariado,Superior completo,Separado,Casa,26,5.778082191780823,2.0,2990.66,8.003249377812127
M,True,False,2,Empresário,Superior completo,Casado,Casa,39,13.0,4.0,10496.35,9.258782856664489
F,True,True,0,Assalariado,Secundário,Casado,Casa,36,14.643835616438356,2.0,1334.97,7.19666409867174
F,False,True,2,Assalariado,Superior completo,Casado,Casa,30,6.27123287671233,4.0,2749.88,7.919312553344887
M,False,False,0,Servidor público,Secundário,Solteiro,Casa,41,6.049315068493152,1.0,7330.85,8.899846749958465
F,False,True,0,Servidor público,Superior completo,União,Casa,45,7.534246575342466,2.0,8542.51,9.052810154606263
F,True,True,0,Pensionista,Secundário,Casado,Casa,64,0.0,2.0,8358.84,9.031074940470385
F,False,True,0,Pensionista,Secundário,Casado,Casa,60,0.0,2.0,3116.73,8.044539654263772
M,True,True,2,Assalariado,Superior completo,Casado,Casa,37,0.4383561643835616,4.0,2798.9,7.936981761831854
F,True,True,0,Assalariado,Secundário,Solteiro,Casa,52,10.720547945205482,1.0,2959.0,7.99260665240021
F,False,False,0,Assalariado,Secundário,Casado,Governamental,50,0.3753424657534247,2.0,4339.98,8.3756250187889
M,False,True,0,Empresário,Secundário,Casado,Casa,34,11.065753424657538,2.0,4738.24,8.463421037720353
F,True,True,0,Empresário,Superior completo,Casado,Casa,35,0.8383561643835616,2.0,1935.76,7.5682552932098375
F,False,True,0,Assalariado,Secundário,União,Casa,58,3.024657534246576,2.0,3359.43,8.11952659570913
F,True,True,1,Servidor público,Superior completo,Casado,Casa,41,4.4602739726027405,3.0,3823.38,8.248890127134958
F,False,True,1,Servidor público,Superior completo,União,Casa,46,25.19178082191781,3.0,11721.03,9.369139943228479
M,False,True,0,Assalariado,Secundário,Casado,Casa,53,12.473972602739725,2.0,6030.21,8.704537114985472
F,True,False,1,Assalariado,Superior completo,União,Casa,31,2.0136986301369864,3.0,3740.97,8.2271002150698
F,True,False,0,Servidor público,Secundário,Casado,Casa,46,8.01917808219178,2.0,2622.49,7.871879527107796
F,False,True,0,Empresário,Superior completo,União,Casa,30,0.7589041095890411,2.0,1555.16,7.349333713210797
F,True,True,0,Assalariado,Secundário,Casado,Casa,37,3.1178082191780816,2.0,2880.65,7.965771242109277
F,True,True,1,Assalariado,Superior completo,Separado,Casa,26,5.778082191780823,2.0,2990.66,8.003249377812127
M,False,True,0,Assalariado,Secundário,Casado,Casa,42,9.627397260273971,2.0,8651.81,9.065523826591413
F,False,True,0,Pensionista,Superior completo,Casado,Casa,60,0.0,2.0,4817.12,8.479931518090739
F,True,True,0,Assalariado,Superior completo,Separado,Casa,47,23.2027397260274,1.0,3515.35,8.164894372545145
M,False,True,0,Assalariado,Secundário,Casado,Casa,56,36.865753424657534,2.0,63286.11,11.05542115277408
F,False,False,1,Empresário,Secundário,Casado,Casa,38,2.180821917808219,3.0,4058.06,8.308460305885129
F,False,True,0,Assalariado,Secundário,Casado,Casa,37,1.1369863013698631,2.0,1449.57,7.279022239710325
M,True,False,1,Assalariado,Superior completo,Casado,Casa,26,1.3753424657534246,3.0,2122.16,7.660189716896953
M,True,False,0,Assalariado,Superior completo,Casado,Casa,45,4.287671232876712,2.0,12707.07,9.449913810464052
M,True,True,0,Assalariado,Secundário,Casado,Casa,36,2.2164383561643834,2.0,1210.97,7.099176970331293
M,True,False,0,Empresário,Secundário,Casado,Aluguel,29,4.035616438356166,2.0,17333.66,9.760405554871713
F,True,True,0,Empresário,Secundário,Casado,Casa,50,19.30958904109589,2.0,5907.97,8.68405756577785
F,False,True,2,Empresário,Secundário,Casado,Casa,42,1.6821917808219178,4.0,905.85,6.80887372942202
F,False,False,0,Empresário,Superior completo,Casado,Com os pais,54,4.216438356164384,2.0,1223.06,7.109111194173074
M,False,True,0,Pensionista,Secundário,União,Casa,60,0.0,2.0,4149.39,8.33071661446915
F,False,True,0,Empresário,Superior completo,Solteiro,Casa,56,25.394520547945213,1.0,57222.81,10.954707874101558
F,False,False,0,Empresário,Secundário,Casado,Casa,43,0.4301369863013699,2.0,2652.35,7.883201318464974
M,True,True,1,Assalariado,Superior completo,Casado,Casa,32,10.63835616438356,3.0,11625.78,9.360980324978863
M,True,False,0,Assalariado,Secundário,Casado,Casa,27,7.019178082191781,2.0,22464.67,10.019699131879342
F,False,False,1,Empresário,Superior completo,Casado,Casa,34,3.602739726027397,3.0,2474.98,7.81398759416206
F,False,True,1,Empresário,Secundário,Casado,Casa,46,7.805479452054794,3.0,6260.74,8.74205366797041
F,False,True,0,Assalariado,Secundário,Casado,Casa,26,3.6821917808219182,2.0,1969.62,7.585595909724694
F,True,True,0,Empresário,Superior completo,Viúvo,Casa,53,14.6,1.0,9380.83,9.146423524226329
M,True,True,1,Assalariado,Superior completo,Casado,Casa,37,0.2657534246575343,3.0,2744.44,7.917332325845339
F,True,True,1,Empresário,Secundário,Casado,Casa,37,4.608219178082192,3.0,941.31,6.847272522102396
F,False,True,0,Pensionista,Secundário,Casado,Casa,55,0.0,2.0,557.69,6.323803252447588
F,False,True,0,Assalariado,Secundário,Casado,Casa,53,6.016438356164382,2.0,2165.5,7.680406560654681
M,True,False,2,Assalariado,Superior completo,Casado,Com os pais,31,13.852054794520548,4.0,9202.55,9.127235898544583
M,False,True,0,Assalariado,Secundário,União,Casa,41,4.178082191780821,2.0,1932.18,7.566404178134486
M,True,False,0,Empresário,Secundário,Casado,Casa,32,3.1890410958904107,2.0,11587.7,9.357699469703585
M,True,False,1,Empresário,Superior completo,Solteiro,Estúdio,59,11.6,2.0,4063.18,8.309721197246136
F,False,False,1,Assalariado,Secundário,Casado,Casa,38,2.0136986301369864,3.0,1831.13,7.51268854160802
M,False,True,1,Assalariado,Superior completo,Casado,Casa,37,14.95890410958904,3.0,11394.5,9.340886061822825
F,False,True,0,Empresário,Secundário,Casado,Casa,46,2.5424657534246577,2.0,4670.46,8.449012846882695
F,False,False,0,Empresário,Superior completo,Casado,Com os pais,42,1.1315068493150684,2.0,3756.67,8.231288205676766
F,True,False,0,Assalariado,Secundário,Casado,Casa,46,1.8657534246575345,2.0,4464.82,8.403984178948154
F,False,True,0,Pensionista,Secundário,Casado,Casa,64,0.0,2.0,2834.81,7.949730194515599
M,True,False,2,Empresário,Secundário,Casado,Casa,40,19.06027397260274,4.0,31763.82,10.366083185206449
F,True,True,0,Pensionista,Secundário,Solteiro,Casa,64,0.0,1.0,1637.7,7.4010480974558215
M,False,False,0,Assalariado,Secundário,Casado,Casa,40,5.717808219178082,2.0,11838.5,9.379112211223054
F,True,True,2,Assalariado,Superior incompleto,Casado,Casa,31,0.3534246575342465,4.0,1947.06,7.574075821538363
F,False,False,1,Assalariado,Secundário,Separado,Casa,45,2.7150684931506848,2.0,1150.79,7.0482039420324085
M,False,False,0,Assalariado,Superior completo,União,Casa,41,0.5452054794520548,2.0,1799.7,7.4953752633271575
F,False,True,2,Assalariado,Superior completo,Casado,Casa,37,15.646575342465756,4.0,3278.0,8.094988759303774
F,True,True,0,Assalariado,Superior completo,Casado,Casa,34,2.2575342465753425,2.0,1935.05,7.567888444923322
M,False,True,0,Assalariado,Secundário,União,Casa,41,4.178082191780821,2.0,1360.56,7.215651658684158
F,False,True,0,Pensionista,Primário,Casado,Casa,68,0.0,2.0,2471.64,7.812637176904387
F,True,False,0,Assalariado,Superior completo,Casado,Casa,55,6.934246575342466,2.0,967.76,6.874984122651592
M,False,False,0,Assalariado,Secundário,União,Casa,62,0.2794520547945205,2.0,714.38,6.571415033649691
F,False,True,0,Assalariado,Secundário,Viúvo,Casa,50,14.756164383561645,1.0,7620.51,8.938598575574895
M,True,False,0,Assalariado,Secundário,Casado,Casa,52,0.2712328767123288,2.0,6772.53,8.820630003628288
M,False,True,2,Servidor público,Secundário,Casado,Casa,38,18.86575342465753,4.0,37663.75,10.536453372399912
M,True,True,0,Empresário,Secundário,União,Casa,32,4.586301369863014,2.0,7705.3,8.949663682752242
F,False,False,1,Assalariado,Superior completo,Casado,Casa,44,5.5178082191780815,3.0,5426.32,8.599016466783993
M,True,True,0,Empresário,Secundário,Casado,Casa,28,3.095890410958904,2.0,1920.98,7.560590751470215
F,False,True,1,Assalariado,Secundário,Solteiro,Casa,49,15.26027397260274,2.0,8912.51,9.095211186741558
F,True,True,1,Empresário,Secundário,Casado,Casa,30,2.345205479452055,3.0,7454.7,8.916599984940438
M,True,True,2,Assalariado,Secundário,União,Casa,35,13.186301369863012,4.0,5497.07,8.611970501998245
F,True,True,0,Empresário,Secundário,Casado,Casa,39,5.304109589041096,2.0,1369.68,7.222332414896562
F,False,False,0,Empresário,Secundário,Casado,Casa,49,11.63013698630137,2.0,757.36,6.629838701820636
M,True,True,1,Assalariado,Secundário,Casado,Casa,47,0.5561643835616439,3.0,3856.49,8.257512722345929
F,True,True,0,Servidor público,Superior completo,Solteiro,Casa,60,41.2,1.0,16178.0,9.691407573577898
F,True,True,0,Assalariado,Superior completo,União,Casa,31,5.512328767123288,2.0,11503.65,9.350419655297724
F,True,False,0,Pensionista,Superior completo,Viúvo,Casa,57,0.0,1.0,1849.31,7.522567875527678
F,True,False,0,Pensionista,Secundário,União,Casa,59,0.0,2.0,3602.31,8.189330585330836
F,False,True,0,Empresário,Secundário,Casado,Casa,55,3.032876712328767,2.0,6577.55,8.791417614557924
F,False,False,0,Empresário,Secundário,Casado,Casa,56,5.06027397260274,2.0,2462.32,7.808859273927868
F,False,True,0,Pensionista,Secundário,Solteiro,Casa,59,0.0,1.0,951.55,6.858092233963037
F,True,True,0,Empresário,Secundário,Solteiro,Casa,51,0.873972602739726,1.0,2029.38,7.615485606666826
F,False,False,0,Pensionista,Secundário,União,Casa,57,0.0,2.0,1236.52,7.120056261517277
F,True,True,1,Empresário,Superior incompleto,Casado,Casa,46,0.3479452054794521,3.0,3478.79,8.154439811157035
F,False,True,0,Assalariado,Secundário,Casado,Casa,50,11.268493150684929,2.0,1592.11,7.372815459494733
F,False,True,0,Empresário,Superior completo,Solteiro,Comunitário,33,6.076712328767122,1.0,8457.2,9.042773428550714
M,False,False,1,Assalariado,Secundário,Separado,Com os pais,42,4.424657534246577,2.0,5550.5,8.621643292772703
M,True,False,0,Assalariado,Secundário,Casado,Casa,24,6.372602739726028,2.0,6089.4,8.714304833682828
M,False,True,0,Empresário,Secundário,Casado,Casa,57,0.8438356164383561,2.0,6533.86,8.784753165546405
F,True,True,2,Assalariado,Secundário,Casado,Casa,33,0.726027397260274,4.0,4579.6,8.429366937049657
M,True,True,0,Assalariado,Secundário,Casado,Casa,50,5.06027397260274,2.0,726.1,6.587687746386201
M,True,True,0,Assalariado,Secundário,Casado,Casa,51,5.5479452054794525,2.0,2385.62,7.7772143276104755
M,True,True,0,Empresário,Secundário,Casado,Casa,49,9.523287671232875,2.0,9001.2,9.105113180763592
M,True,False,0,Empresário,Secundário,Casado,Casa,44,8.219178082191782,2.0,7488.01,8.921058353626622
F,False,True,0,Empresário,Secundário,Casado,Casa,45,7.638356164383563,2.0,4909.73,8.49897422945987
F,True,False,0,Empresário,Superior completo,Casado,Casa,53,4.597260273972604,2.0,1620.37,7.390409797209976
F,True,False,0,Pensionista,Secundário,Casado,Casa,57,0.0,2.0,6816.75,8.827138097666989
M,True,True,1,Assalariado,Secundário,Casado,Casa,31,2.375342465753425,3.0,8104.41,9.000163636948871
F,True,True,1,Assalariado,Secundário,Casado,Casa,38,15.232876712328768,3.0,8370.15,9.032427084469893
F,False,False,0,Assalariado,Superior completo,Casado,Casa,36,7.249315068493152,2.0,3186.45,8.066662723434002
F,False,True,0,Assalariado,Secundário,Casado,Casa,54,4.312328767123288,2.0,2378.07,7.774044513318744
M,True,True,2,Assalariado,Secundário,União,Casa,35,13.186301369863012,4.0,5232.15,8.562577562450837
F,False,True,0,Servidor público,Primário,Viúvo,Casa,51,7.104109589041097,1.0,1995.82,7.598810272444195
M,True,True,2,Assalariado,Secundário,Casado,Casa,31,7.958904109589041,4.0,3646.91,8.201635512686794
M,True,False,0,Assalariado,Secundário,Casado,Casa,57,1.326027397260274,2.0,4888.61,8.49466328848248
F,True,True,0,Pensionista,Superior completo,Casado,Casa,57,0.0,2.0,6540.02,8.785695502550544
F,False,False,1,Assalariado,Secundário,União,Com os pais,30,1.9616438356164383,3.0,459.13,6.129333394360957
M,False,False,0,Assalariado,Secundário,Casado,Casa,56,11.227397260273971,2.0,5975.19,8.695371175457309
F,False,False,0,Empresário,Secundário,Casado,Casa,55,22.38630136986301,2.0,4582.5,8.42999997971386
F,True,False,0,Empresário,Superior completo,Solteiro,Casa,38,8.186301369863013,1.0,4884.94,8.493912281904011
F,False,False,0,Servidor público,Superior completo,Casado,Casa,31,6.043835616438357,2.0,1630.88,7.396875025420103
F,False,False,0,Pensionista,Superior completo,Viúvo,Casa,58,0.0,1.0,2836.1,7.950185147961255
F,False,False,0,Assalariado,Superior completo,Separado,Casa,52,2.7452054794520557,1.0,7934.99,8.97903737272027
M,True,True,0,Pensionista,Secundário,Casado,Casa,58,0.0,2.0,23536.31,10.06629961406651
F,False,True,0,Pensionista,Secundário,Viúvo,Casa,67,0.0,1.0,1346.92,7.205575783406842
M,True,True,0,Assalariado,Superior completo,Casado,Casa,51,1.4684931506849317,2.0,1026.82,6.934221926797163
F,True,True,1,Empresário,Secundário,Casado,Governamental,44,21.86027397260274,3.0,2864.84,7.9602677811670315
F,False,True,0,Assalariado,Secundário,Solteiro,Casa,48,21.03013698630137,1.0,6028.89,8.704318193174512
M,False,False,0,Pensionista,Secundário,Casado,Casa,62,0.0,2.0,2518.24,7.8313155238032905
F,False,True,0,Assalariado,Secundário,Casado,Casa,42,4.046575342465753,2.0,2123.13,7.66064669393121
F,False,True,0,Assalariado,Superior completo,Solteiro,Casa,24,3.104109589041096,1.0,2715.22,7.906628260392727
F,False,True,1,Servidor público,Superior completo,Casado,Casa,36,13.136986301369864,3.0,3909.95,8.271279865173863
F,False,False,0,Assalariado,Secundário,Casado,Casa,51,25.54794520547945,2.0,6736.28,8.815263122754212
F,False,True,2,Assalariado,Secundário,Casado,Casa,39,18.13972602739726,4.0,12752.66,9.453495156277873
M,False,True,0,Empresário,Superior completo,Casado,Casa,31,1.1232876712328768,2.0,3236.86,8.082359003068172
M,False,True,1,Assalariado,Secundário,Casado,Casa,37,1.7534246575342465,3.0,5847.17,8.67371306249219
M,True,True,0,Assalariado,Secundário,Casado,Casa,42,9.252054794520548,2.0,7603.64,8.936382358984162
F,False,False,0,Assalariado,Secundário,Casado,Casa,53,3.4301369863013704,2.0,964.63,6.871744608125743
M,False,True,1,Empresário,Secundário,União,Casa,46,14.375342465753429,3.0,6004.87,8.700326085653604
F,False,True,2,Assalariado,Primário,Casado,Casa,36,14.257534246575348,4.0,13084.3,9.479168317163376
M,False,True,0,Assalariado,Secundário,Casado,Casa,30,4.454794520547946,2.0,3046.42,8.021722409701546
F,False,True,0,Assalariado,Superior completo,Separado,Casa,60,4.216438356164384,1.0,7276.7,8.892432741717426
M,True,True,0,Assalariado,Secundário,União,Casa,49,18.523287671232875,2.0,33429.16,10.417183851967133
M,True,False,0,Empresário,Secundário,Casado,Casa,31,5.6054794520547935,2.0,4929.31,8.502954297809453
F,False,True,0,Assalariado,Secundário,Casado,Casa,43,8.312328767123287,2.0,1878.91,7.53844710044834
M,False,False,1,Assalariado,Secundário,Casado,Casa,30,3.4356164383561643,3.0,9254.59,9.132874923648133
F,False,True,0,Pensionista,Primário,Casado,Casa,68,0.0,2.0,1035.94,6.943064506084371
F,False,True,0,Assalariado,Secundário,Casado,Casa,50,5.958904109589041,2.0,5507.47,8.613860631544096
F,True,True,1,Assalariado,Secundário,Casado,Casa,35,2.5506849315068494,3.0,2267.66,7.726503741793165
F,False,True,0,Pensionista,Primário,Casado,Casa,61,0.0,2.0,2463.31,7.809261252969465
M,False,False,0,Assalariado,Secundário,Solteiro,Com os pais,24,2.5945205479452054,1.0,4247.94,8.354189438528241
F,False,True,3,Empresário,Secundário,Solteiro,Casa,32,13.895890410958906,4.0,7590.52,8.934655379241837
F,False,True,1,Assalariado,Superior completo,Casado,Casa,50,27.65479452054794,3.0,3792.52,8.240785984775032
F,False,True,1,Assalariado,Secundário,Casado,Casa,38,0.7150684931506849,3.0,1304.2,7.173345104959102
F,False,False,0,Empresário,Superior completo,Casado,Com os pais,27,3.764383561643836,2.0,2141.05,7.669051641890089
F,False,False,0,Pensionista,Superior completo,Casado,Casa,61,0.0,2.0,2311.97,7.745855253929535
F,False,True,2,Assalariado,Secundário,Casado,Com os pais,37,1.0027397260273974,4.0,3469.59,8.151791710340383
F,False,False,0,Empresário,Secundário,Casado,Casa,39,3.175342465753425,2.0,728.96,6.5916188608187625
M,True,True,0,Pensionista,Secundário,Casado,Casa,61,0.0,2.0,9256.15,9.133043474446609
M,True,True,0,Assalariado,Secundário,Casado,Casa,46,9.704109589041096,2.0,13381.31,9.501614236213975
F,False,False,1,Empresário,Superior completo,Separado,Casa,40,7.761643835616439,2.0,3091.22,8.036321113976564
M,True,True,0,Assalariado,Primário,Separado,Casa,52,10.47945205479452,1.0,6718.18,8.812572563501892
F,False,False,0,Empresário,Secundário,União,Casa,41,3.7178082191780817,2.0,5852.05,8.674547306191005
F,False,True,1,Assalariado,Secundário,Casado,Casa,40,21.55068493150685,3.0,3245.19,8.084929179041985
F,True,True,0,Empresário,Superior completo,União,Casa,38,10.438356164383563,2.0,3195.0,8.069342366811636
M,False,True,0,Assalariado,Secundário,Casado,Casa,38,10.427397260273972,2.0,10289.08,9.238838417639586
M,False,False,1,Assalariado,Superior completo,Casado,Casa,27,4.035616438356166,3.0,2010.06,7.605919851353866
F,False,True,0,Pensionista,Primário,Casado,Casa,61,0.0,2.0,2156.88,7.676418012018228
M,False,False,1,Assalariado,Secundário,Solteiro,Casa,46,18.035616438356165,2.0,17049.35,9.7438673588178
M,True,False,0,Assalariado,Superior completo,Casado,Casa,28,8.208219178082192,2.0,3169.39,8.061294419332404
F,False,True,0,Assalariado,Superior completo,Solteiro,Com os pais,27,6.216438356164384,1.0,24865.21,10.121224916719449
M,True,True,1,Assalariado,Secundário,Casado,Casa,31,10.427397260273972,3.0,1717.59,7.448677424470306
F,False,True,0,Empresário,Secundário,Casado,Casa,50,1.747945205479452,2.0,5109.17,8.538792243390638
F,False,True,1,Assalariado,Secundário,Casado,Casa,31,6.383561643835616,3.0,512.32,6.23894942980835
M,True,True,0,Empresário,Secundário,Casado,Casa,31,11.043835616438356,2.0,24509.8,10.106828316554145
M,False,True,1,Empresário,Superior incompleto,Casado,Casa,34,3.202739726027397,3.0,1985.93,7.593842597256848
F,True,True,0,Pensionista,Primário,Casado,Casa,59,0.0,2.0,10757.24,9.283334295236385
F,False,True,0,Pensionista,Secundário,Solteiro,Casa,64,0.0,1.0,2309.04,7.744587132721119
M,False,False,1,Assalariado,Secundário,Casado,Casa,27,1.5178082191780822,3.0,1594.22,7.3741398673924845
M,False,False,0,Empresário,Secundário,União,Casa,32,0.8082191780821918,2.0,4547.94,8.422429662171266
M,True,False,1,Assalariado,Secundário,Casado,Casa,33,0.536986301369863,3.0,1923.23,7.561761343220889
F,False,False,0,Servidor público,Secundário,Separado,Casa,53,33.78630136986301,1.0,13365.25,9.500413333972334
M,True,False,2,Assalariado,Superior completo,Casado,Casa,43,18.336986301369866,4.0,12082.92,9.39954816413309
F,True,True,1,Assalariado,Superior completo,Separado,Casa,51,16.386301369863013,2.0,4434.25,8.397113771085696
M,False,True,0,Empresário,Secundário,Solteiro,Casa,40,16.13972602739726,1.0,14412.61,9.575858796811849
F,False,True,0,Empresário,Secundário,Solteiro,Casa,49,1.5205479452054795,1.0,1413.7,7.2539656598729865
M,False,False,1,Assalariado,Secundário,Casado,Casa,24,1.356164383561644,3.0,2440.24,7.799851674105893
F,False,True,0,Empresário,Secundário,Solteiro,Com os pais,35,4.6,1.0,15580.96,9.653804934984741
F,False,False,0,Assalariado,Secundário,Casado,Casa,51,30.117808219178084,2.0,4704.81,8.45634066863235
F,False,True,0,Assalariado,Secundário,Solteiro,Casa,47,5.846575342465752,1.0,4462.83,8.40353837293359
F,False,True,1,Assalariado,Secundário,Viúvo,Casa,42,0.8356164383561644,2.0,1622.97,7.392013083055399
F,False,True,0,Pensionista,Secundário,União,Casa,62,0.0,2.0,1115.81,7.01733587755087
F,True,True,0,Empresário,Secundário,Casado,Casa,50,19.30958904109589,2.0,4699.34,8.455177352305647
F,False,True,0,Pensionista,Secundário,Casado,Casa,59,0.0,2.0,2896.44,7.971237675666509
F,False,False,0,Assalariado,Secundário,Casado,Casa,43,5.715068493150685,2.0,3130.42,8.048922459835671
F,True,True,0,Empresário,Secundário,Solteiro,Casa,51,0.873972602739726,1.0,2029.38,7.615485606666826
F,False,True,0,Empresário,Secundário,Casado,Casa,48,8.967123287671232,2.0,2952.57,7.990431256511893
F,False,True,0,Empresário,Secundário,Casado,Casa,48,3.276712328767123,2.0,6685.74,8.807732178996874
F,False,False,1,Pensionista,Secundário,Casado,Governamental,57,0.0,3.0,1144.98,7.043142448586877
F,False,True,0,Assalariado,Secundário,Casado,Casa,60,39.48767123287672,2.0,18589.35,9.830344115069234
M,True,True,0,Pensionista,Secundário,Casado,Casa,56,0.0,2.0,5116.93,8.54030992882096
F,False,True,1,Servidor público,Secundário,União,Com os pais,40,15.975342465753426,3.0,2369.62,7.770484883720995
F,False,True,1,Assalariado,Secundário,Casado,Casa,29,0.3479452054794521,3.0,8538.98,9.052396841710227
F,False,True,0,Assalariado,Secundário,Casado,Aluguel,39,7.120547945205479,2.0,941.38,6.847346883787042
F,False,True,0,Pensionista,Secundário,Casado,Casa,60,0.0,2.0,1748.48,7.4665021180622615
F,True,False,1,Empresário,Superior completo,Casado,Casa,30,5.657534246575342,3.0,3594.85,8.187257544667126
F,True,False,0,Assalariado,Secundário,Casado,Casa,53,11.134246575342466,2.0,1646.71,7.406534636957078
F,False,True,0,Assalariado,Secundário,Casado,Casa,60,2.0383561643835617,2.0,583.86,6.369661228061952
M,True,False,1,Servidor público,Secundário,Casado,Casa,59,11.895890410958906,3.0,15159.6,9.626389273623992
F,False,False,0,Assalariado,Secundário,Casado,Com os pais,54,3.263013698630137,2.0,675.21,6.515023753598615
